Profit and Loss - YTD 2025 (Jan-Nov),,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,
"January 1, 2025 - November 30, 2025",,,,,,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
Income,,,,,,,,,,,,
6470 Travel,25.00,"4,501.13",219.92,53.40,53.01,535.64,"3,662.22",953.97,191.21,263.03,47.18,"10,505.71"
6495 Discretionary Spending Expense,"1,117.24",,863.21,,"1,726.42",863.21,"1,404.87",863.21,863.21,863.21,"2,357.01","10,921.59"
Total for Expenses,"37,074.73","85,634.32","53,474.76","72,183.73","132,163.51","144,269.67","177,147.72","147,281.04","104,491.25","172,556.13","255,581.73","$1,381,858.59"
Net Operating Income,"17,008.14","17,081.10","12,378.03","55,189.55","77,308.99","87,643.06","-14,248.38","3,759.30","49,159.60","54,836.53","133,462.43","$493,578.35"
Other Income,,,,,,,,,,,,
7000 Interest Income,,,,,,,,,,0.01,,0.01
Total for Other Income,,,,,,,,,,0.01,,"$0.01"
Other Expenses,,,,,,,,,,,,
Total for Other Expenses,,,,,,,,,,,,"$"
Net Other Income,,,,,,,,,,0.01,,"$0.01"
Net Income,"17,008.14","17,081.10","12,378.03","55,189.55","77,308.99","87,643.06","-14,248.38","3,759.30","49,159.60","54,836.54","133,462.43","$493,578.36"


"Accrual Basis Thursday, December 11, 2025 07:09 PM",,,,,,,,,,,,
